Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,review_year,review_month,availability_category
14443,740328931532427403,[长租特惠底价最短入住28天]rama9精品两居室/无边泳池/健身房/火车夜市/尚泰购物中心/mrt,264864968,Tricia,Huai Khwang,13.75433,100.56946,Entire home/apt,2380,28,1,2022-12-12,1.0,44,158,1,2022.0,12,Moderat (91-180 days)
14444,740330293674765993,[长租特惠底价最短入住30天]rama9精品两居室/无边泳池/尚泰购物中心/火车夜市/mrt/RCA,264864968,Tricia,Huai Khwang,13.75439,100.5695,Entire home/apt,2380,28,1,2022-11-20,0.77,44,342,1,2022.0,11,Very High (271-365 days)
14445,736618636050639380,Near The Grand Palace/ASOK Station/Sukhumvit,201677068,Curry,Khlong Toei,13.7348564,100.5579603,Entire home/apt,1729,1,1,2022-10-30,0.5,228,356,1,2022.0,10,Very High (271-365 days)
14446,740344294859880919,23F11#BTS Nana 5mins walk#Terminal 21#Nana&Max2ppl,178564839,Weeraya,Vadhana,13.74479,100.55769,Entire home/apt,2271,2,4,2022-12-23,2.22,35,51,4,2022.0,12,Low (0-90 days)
14447,740351822923089069,27F10#BTS Nana 5mins walk#Terminal 21#Nana&Max2ppl,178564839,Weeraya,Vadhana,13.74395,100.55587,Entire home/apt,2315,2,5,2022-12-12,2.34,35,60,5,2022.0,12,Low (0-90 days)
14448,736644113202903101,Relaxing Room New Furnishing No.2 (33/11),181931374,Kriangsit,Pra Wet,13.69125,100.64488,Private room,650,15,1,2022-12-07,1.0,4,354,1,2022.0,12,Very High (271-365 days)
14449,740358466040474182,27F11#BTS Nana 5mins walk#Terminal 21#Nana&Max2ppl,178564839,Weeraya,Vadhana,13.74368,100.55724,Entire home/apt,2286,2,5,2022-12-17,2.38,35,75,5,2022.0,12,Low (0-90 days)
14450,736703570847651608,Khaosan DD Bangkok,31015834,Natha,Phra Nakhon,13.7601,100.4958,Private room,990,1,9,2022-12-13,3.91,18,364,9,2022.0,12,Very High (271-365 days)
14457,736861593669872653,Cozy studio/sky pool/ 5min from MRT Rama9,59925896,Arthur,Ratchathewi,13.7541882,100.5632693,Entire home/apt,1239,15,4,2022-11-25,1.97,2,107,4,2022.0,11,Moderat (91-180 days)
14459,740445706210999445,2-mrt rame9 400m-Infinity pool/gym/shopping mall,67585919,Summer,Huai Khwang,13.75434,100.5771,Entire home/apt,1375,15,1,2022-10-20,0.43,25,90,1,2022.0,10,Low (0-90 days)
14462,737138685726168823,3楼泳池景觀曼谷中心温馨一房公寓/临近bts asok/near terminal 21/双轨交汇,18699637,Wilson,Khlong Toei,13.73543,100.55904,Entire home/apt,1671,1,5,2022-11-24,2.14,29,125,5,2022.0,11,Moderat (91-180 days)
14464,740491593116818892,"Comfy lake view bed room, 34sqm - central area",434168399,Krittika,Khlong Toei,13.73349,100.55736,Entire home/apt,8143,1,1,2022-11-04,0.55,44,365,1,2022.0,11,Very High (271-365 days)
14465,740493307688714449,- Hyde Sukhumvit 11 - Elegant Design - BTS NANA,62256771,Terry,Vadhana,13.74219,100.55692,Entire home/apt,1686,5,2,2022-12-07,1.76,28,146,2,2022.0,12,Moderat (91-180 days)
14466,737143779851416454,"Convenient transportation, near mrt 200 meters",190184541,Phueng,Bang Sue,13.81906473213961,100.53664069622756,Private room,480,3,3,2022-12-05,1.91,3,147,3,2022.0,12,Moderat (91-180 days)
